From,To,Subject,Message,Day,Date & Time,url_count,Cleaned_Subject,Cleaned_Message,Combined_Text,Qwen2.5_Category
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Friday,1/31/2022 13:23,2,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,nda is now in effect,Thursday,4/2/2022 3:20,2,contract update,nda effect,contract update nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Tuesday,2/8/2022 4:40,2,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,updated terms and conditions apply,Wednesday,9/21/2022 9:05,0,nda agreement,update term condition apply,nda agreement update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,nda is now in effect,Thursday,6/19/2022 19:50,2,contract update,nda effect,contract update nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Monday,1/17/2022 14:40,2,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,please review the attached legal document,Wednesday,7/10/2022 6:35,2,legal terms revised,review attached legal document,legal terms revised review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Wednesday,8/19/2022 18:57,1,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Tuesday,6/4/2022 7:38,2,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Tuesday,5/15/2022 17:08,0,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,updated terms and conditions apply,Tuesday,2/14/2022 0:47,2,nda agreement,update term condition apply,nda agreement update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Thursday,7/24/2022 23:37,2,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Monday,9/19/2022 10:25,2,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Thursday,4/8/2022 6:14,0,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,please review the attached legal document,Tuesday,11/2/2022 6:00,1,legal terms revised,review attached legal document,legal terms revised review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Thursday,4/30/2022 17:51,2,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Monday,4/12/2022 14:41,0,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,updated terms and conditions apply,Monday,8/2/2022 14:53,0,nda agreement,update term condition apply,nda agreement update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Thursday,3/25/2022 11:47,2,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Tuesday,4/25/2022 17:43,2,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,nda is now in effect,Thursday,12/9/2022 20:28,1,legal terms revised,nda effect,legal terms revised nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,nda is now in effect,Thursday,8/23/2022 4:08,1,contract update,nda effect,contract update nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Wednesday,9/5/2022 4:24,0,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,nda is now in effect,Tuesday,2/15/2022 23:46,1,legal terms revised,nda effect,legal terms revised nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,nda is now in effect,Wednesday,9/14/2022 19:36,0,nda agreement,nda effect,nda agreement nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Wednesday,7/11/2022 4:30,2,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Friday,1/27/2022 7:58,2,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,please review the attached legal document,Monday,10/10/2022 15:13,0,nda agreement,review attached legal document,nda agreement review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,updated terms and conditions apply,Wednesday,2/5/2022 20:03,2,nda agreement,update term condition apply,nda agreement update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,please review the attached legal document,Thursday,6/6/2022 6:57,1,nda agreement,review attached legal document,nda agreement review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Friday,12/22/2022 0:07,1,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,nda is now in effect,Tuesday,3/1/2022 12:10,2,legal terms revised,nda effect,legal terms revised nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,please review the attached legal document,Monday,4/21/2022 16:17,1,nda agreement,review attached legal document,nda agreement review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,please review the attached legal document,Tuesday,7/11/2022 1:39,0,nda agreement,review attached legal document,nda agreement review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,nda is now in effect,Tuesday,9/5/2022 18:01,0,legal terms revised,nda effect,legal terms revised nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,nda is now in effect,Wednesday,10/17/2022 13:27,1,contract update,nda effect,contract update nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Friday,5/26/2022 23:33,2,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,nda is now in effect,Thursday,2/19/2022 9:44,1,nda agreement,nda effect,nda agreement nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,please review the attached legal document,Monday,8/10/2022 17:23,1,legal terms revised,review attached legal document,legal terms revised review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,updated terms and conditions apply,Tuesday,8/7/2022 12:16,2,nda agreement,update term condition apply,nda agreement update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,please review the attached legal document,Tuesday,10/16/2022 2:31,2,nda agreement,review attached legal document,nda agreement review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,nda is now in effect,Monday,8/1/2022 10:55,2,nda agreement,nda effect,nda agreement nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,nda is now in effect,Tuesday,5/19/2022 13:14,1,contract update,nda effect,contract update nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,nda is now in effect,Wednesday,11/27/2022 22:38,0,legal terms revised,nda effect,legal terms revised nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,nda is now in effect,Thursday,2/16/2022 13:52,0,legal terms revised,nda effect,legal terms revised nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,please review the attached legal document,Monday,3/7/2022 6:56,0,legal terms revised,review attached legal document,legal terms revised review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,nda is now in effect,Thursday,7/22/2022 10:57,2,legal terms revised,nda effect,legal terms revised nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Friday,3/19/2022 5:42,0,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,please review the attached legal document,Thursday,11/23/2022 22:50,2,legal terms revised,review attached legal document,legal terms revised review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Tuesday,2/22/2022 9:49,2,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,nda is now in effect,Wednesday,11/18/2022 21:38,1,contract update,nda effect,contract update nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,nda is now in effect,Thursday,9/18/2022 0:51,2,legal terms revised,nda effect,legal terms revised nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Thursday,2/14/2022 18:21,2,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Thursday,12/19/2022 20:08,1,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,please review the attached legal document,Wednesday,2/1/2022 20:47,1,nda agreement,review attached legal document,nda agreement review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,please review the attached legal document,Friday,11/24/2022 17:20,0,legal terms revised,review attached legal document,legal terms revised review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Thursday,10/11/2022 15:33,1,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Wednesday,12/29/2022 17:20,2,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,updated terms and conditions apply,Monday,7/7/2022 4:17,2,nda agreement,update term condition apply,nda agreement update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Wednesday,3/6/2022 12:09,1,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Wednesday,9/6/2022 19:24,0,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Thursday,4/2/2022 18:42,0,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,nda is now in effect,Wednesday,4/3/2022 15:13,2,nda agreement,nda effect,nda agreement nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,nda is now in effect,Monday,11/24/2022 6:20,2,legal terms revised,nda effect,legal terms revised nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,nda is now in effect,Wednesday,8/28/2022 15:54,2,legal terms revised,nda effect,legal terms revised nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Friday,8/9/2022 18:12,0,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Tuesday,2/6/2022 21:48,2,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,nda is now in effect,Monday,12/24/2022 19:31,0,nda agreement,nda effect,nda agreement nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,updated terms and conditions apply,Friday,7/6/2022 7:32,2,nda agreement,update term condition apply,nda agreement update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Monday,12/6/2022 19:37,2,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Tuesday,12/12/2022 1:21,0,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Wednesday,8/20/2022 21:19,1,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Tuesday,11/28/2022 11:48,2,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,please review the attached legal document,Tuesday,12/16/2022 6:00,0,nda agreement,review attached legal document,nda agreement review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,updated terms and conditions apply,Wednesday,11/23/2022 15:07,0,nda agreement,update term condition apply,nda agreement update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,nda is now in effect,Thursday,9/9/2022 17:26,2,contract update,nda effect,contract update nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Friday,12/19/2022 7:18,0,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,updated terms and conditions apply,Thursday,3/12/2022 22:04,1,nda agreement,update term condition apply,nda agreement update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,updated terms and conditions apply,Tuesday,8/5/2022 3:31,1,nda agreement,update term condition apply,nda agreement update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Wednesday,1/6/2022 16:19,0,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Wednesday,7/25/2022 5:26,0,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Wednesday,4/26/2022 22:47,0,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Tuesday,7/29/2022 13:15,2,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Wednesday,6/25/2022 9:53,1,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Friday,10/30/2022 10:02,1,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Wednesday,6/8/2022 9:55,2,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,updated terms and conditions apply,Wednesday,4/20/2022 9:20,2,nda agreement,update term condition apply,nda agreement update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Thursday,3/13/2022 9:06,0,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,nda is now in effect,Friday,5/3/2022 14:32,2,contract update,nda effect,contract update nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Monday,12/24/2022 6:53,0,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,nda is now in effect,Monday,6/17/2022 18:17,1,legal terms revised,nda effect,legal terms revised nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Thursday,7/30/2022 13:52,2,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,nda is now in effect,Thursday,2/28/2022 22:16,2,nda agreement,nda effect,nda agreement nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,nda is now in effect,Wednesday,3/28/2022 20:29,2,legal terms revised,nda effect,legal terms revised nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,nda is now in effect,Thursday,6/15/2022 1:17,0,nda agreement,nda effect,nda agreement nda effect,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,please review the attached legal document,Wednesday,10/19/2022 21:18,1,nda agreement,review attached legal document,nda agreement review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,nda agreement,updated terms and conditions apply,Wednesday,2/6/2022 4:01,1,nda agreement,update term condition apply,nda agreement update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,updated terms and conditions apply,Monday,9/27/2022 11:59,2,contract update,update term condition apply,contract update update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,please review the attached legal document,Tuesday,7/28/2022 9:08,0,contract update,review attached legal document,contract update review attached legal document,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,legal terms revised,updated terms and conditions apply,Thursday,11/23/2022 7:20,2,legal terms revised,update term condition apply,legal terms revised update term condition apply,Legal & Contractual
legal_&_contractual@fyp-ai.com,employee@enron.com,contract update,nda is now in effect,Wednesday,4/9/2022 23:27,1,contract update,nda effect,contract update nda effect,Legal & Contractual
